"Test123 Inc."
"Chart of Accounts"
""
"","","No.","Description","Type","Account Class"
"","","________","_____________________________________","_______","___________________________________________________________________________"

"Chart of Accounts - Previous Year (2017)"

"","ASSET"

"","","1000","CURRENT ASSETS","H"
"","","1010","Bank account - TD","A","Bank"
"","","1020","Bank account - HSBC","A","Bank"
"","","1030","Bank account - BMO","A","Bank"
"","","1040","Bank account - M&T Bank","A","Bank"
"","","1070","Investment (GIC)","A","Bank"
"","","1099","Cash","S"
"","","1210","Accounts Receivable - trade","A","Accounts Receivable"
"","","1220","Accounts receivable - other","A","Accounts Receivable"
"","","1225","Allowance for Doubtful Accounts","A","Allowance for Bad Debts"
"","","1299","Trade & other receivables","S"
"","","1310","Inventory","A","Inventory"
"","","1375","Inventory obsolesence/write-downs","A","Inventory"
"","","1399","Inventory","S"
"","","1410","Prepaid Expenses","A","Other Current Asset"
"","","1420","Deposits","A","Other Current Asset"
"","","1430","Advances","A","Other Current Asset"
"","","1449","Prepaid expenses","S"
"","","1499","Total Current Assets","T"

"","","1500","NON-CURRENT ASSETS","H"
"","","1510","Sewage and storage equipment","A","Other Non-Current Asset"
"","","1520","Sewage & storage equipment - Acc Am","A","Other Non-Current Asset"
"","","1530","Other equipment","A","Other Non-Current Asset"
"","","1599","Equipment held for rental or resale","S"
"","","1605","Office complex","A","Capital Asset"
"","","1610","Machinery & tools","A","Capital Asset"
"","","1620","Diffuser equipment","A","Capital Asset"
"","","1630","Computer equipment","A","Capital Asset"
"","","1640","Office furniture & equipment","A","Capital Asset"
"","","1650","Vehicles","A","Capital Asset"
"","","1690","Vehicles under finance lease","A","Capital Asset"
"","","1705","Acc amort - Office complex","A","Capital Asset"
"","","1710","Acc amort - Machinery & tools","A","Accum. Amort. & Depreciation"
"","","1720","Acc amort - Diffuser equipment","A","Accum. Amort. & Depreciation"
"","","1730","Acc amort - Computer equipment","A","Accum. Amort. & Depreciation"
"","","1740","Acc Amort - Office furniture & equi","A","Accum. Amort. & Depreciation"
"","","1750","Acc amort - Vehicles","A","Accum. Amort. & Depreciation"
"","","1790","Acc amort - Vehicles under finance","A","Accum. Amort. & Depreciation"
"","","1799","Property and equipment","S"
"","","1810","Intangibles","A","Other Non-Current Asset"
"","","1849","Intangibles","S"
"","","1910","Investment in subsidiaries","A","Other Non-Current Asset"
"","","1949","Investment in subsidiaries","S"
"","","1999","Total Non-Current Assets","T"

"","LIABILITY"

"","","2000","CURRENT LIABILITIES","H"
"","","2010","Accounts payable - trade","A","Accounts Payable"
"","","2020","Accounts payable - other","A","Accounts Payable"
"","","2030","Source deductions payable","A","Payroll Tax Payable"
"","","2032","EI payable","A","Payroll Tax Payable"
"","","2034","CPP payable","A","Payroll Tax Payable"
"","","2035","Federal tax payable","A","Payroll Tax Payable"
"","","2040","Group benefits payable","A","Employee Deductions Payable"
"","","2045","Vacation payable","A","Other Payable"
"","","2050","GST/HST paid on purchases","A","Sales Tax Payable"
"","","2055","GST/HST charged on sales","A","Sales Tax Payable"
"","","2060","GST adjustments","A","Sales Tax Payable"
"","","2065","GST owing (refund)","A","Sales Tax Payable"
"","","2070","BC PST payable","A","Sales Tax Payable"
