"Test123 Inc."
"Trial Balance As at 08/31/2017"
""
"","",""
"Account Number","Account Description","Debits","Credits"
"______________","________________________________","________________","________________"
"1010","Bank account - TD","1,046,181.48","-"
"1020","Bank account - HSBC","0.00","-"
"1030","Bank account - BMO","0.00","-"
"1040","Bank account - M&T Bank","3,764.86","-"
"1070","Investment (GIC)","10,007.02","-"
"1210","Accounts Receivable - trade","5,540.25","-"
"1220","Accounts receivable - other","0.00","-"
"1225","Allowance for Doubtful Accounts","0.00","-"
"1310","Inventory","380,815.08","-"
"1375","Inventory obsolesence/write-downs","0.00","-"
"1410","Prepaid Expenses","900.00","-"
"1420","Deposits","7,947.30","-"
"1430","Advances","0.00","-"
"1510","Sewage and storage equipment","0.00","-"
"1520","Sewage & storage equipment - Acc Am","0.00","-"
"1530","Other equipment","0.00","-"
"1605","Office complex","0.00","-"
"1610","Machinery & tools","30,225.03","-"
"1620","Diffuser equipment","41,394.23","-"
"1630","Computer equipment","19,183.85","-"
"1640","Office furniture & equipment","11,806.64","-"
"1650","Vehicles","0.00","-"
"1690","Vehicles under finance lease","0.00","-"
"1705","Acc amort - Office complex","0.00","-"
"1710","Acc amort - Machinery & tools","-","27,769.57"
"1720","Acc amort - Diffuser equipment","-","41,394.23"
"1730","Acc amort - Computer equipment","-","19,183.85"
"1740","Acc Amort - Office furniture & equi","-","11,806.64"
"1750","Acc amort - Vehicles","0.00","-"
"1790","Acc amort - Vehicles under finance","0.00","-"
"1810","Intangibles","252,183.92","-"
"1910","Investment in subsidiaries","0.00","-"
"2010","Accounts payable - trade","-","1,621,108.92"
"2020","Accounts payable - other","-","500,442.16"
"2030","Source deductions payable","-","0.00"
"2032","EI payable","-","0.00"
"2034","CPP payable","-","0.00"
"2035","Federal tax payable","-","0.00"
"2040","Group benefits payable","-","0.00"
"2045","Vacation payable","-","24,384.82"
"2050","GST/HST paid on purchases","39,608.85","-"
"2055","GST/HST charged on sales","-","16,539.17"
"2060","GST adjustments","-","0.00"
"2065","GST owing (refund)","-","0.00"
"2070","BC PST payable","-","0.00"
"2080","Interest payable","-","0.00"
"2100","Accrued liabilities","-","221,253.26"
"2200","Demand loan payable","-","0.00"
"2225","Secured demand loan payable","-","0.00"
"2230","Secured loan (1979927 Alberta Ltd.)","-","0.00"
"2250","Advances from related parties","-","0.00"
"2300","Obligation under finance lease","-","0.00"
"2400","Convertible debentures","-","0.00"
"2450","Corporate taxes payable","-","0.00"
"2510","Obligation under finance lease","-","0.00"
"2600","Convertible debentures","-","0.00"
"2910","Due to/from Test123 Inc.","7,576,281.00","-"
"2915","Due to/from Test123 Diffusion Inc.","-","10,345,168.26"
"2920","Due to/from Test123 Septic Inc.","6,347,720.26","-"
"2925","Due to/from Test123 US Inc.","-","0.00"
"2945","Due to/from adjustment account","-","3,578,833.00"
"3100","Common shares","-","5,891,945.00"
"3120","Class A Preferred shares","-","2,072,017.08"
"3150","Share issuance costs","-","0.00"
"3300","Warrants","-","0.00"
"3400","Contributed surplus","-","25,794,021.19"
"3500","Equity component convert debenture","-","0.00"
"3800","Retained earnings - prior year","33,889,688.65","-"
"4100","Product sales","-","485,608.40"
"4400","Rental income","-","8,000.00"
"4500","Service work revenue","-","0.00"
"4800","Other revenue","-","0.00"
"5100","Product costs - material","19,360.67","-"
"5200","Product costs - labour","0.00","-"
"5400","Rental income - direct expenses","0.00","-"
"5500","Service & set-ups","0.00","-"
"5800","Brokerage, freight & duty","0.00","-"
"5900","Commissions","0.00","-"
"6010","Salaries & wages - admin","648,654.33","-"
"6040","Salaries & wages - commissions","493,963.00","-"
"6045","Salaries & wages - adjustments","0.00","-"
"6050","Employee benefits","34,226.16","-"
"6052","EI expense","2,898.90","-"
"6054","CPP expense","7,692.30","-"
"6055","Federal tax","0.00","-"
"6070","Group insurance","0.00","-"
"6075","WCB expense","2,191.48","-"
"6080","Vacation pay","0.00","-"
"6090","Vehicle allowance","0.00","-"
"6100","Advertising and promotion","0.00","-"
"6110","Consulting & contract services","149,734.00","-"
"6120","Corporate compliance & IR","25,141.22","-"
"6125","Fees & licenses","620.00","-"
"6130","Insurance","36,239.48","-"
"6135","Meals & entertainment (50%)","21,147.82","-"
"6140","Office supplies & costs","11,079.83","-"
"6145","Postage & courier","388.14","-"
"6150","Professional fees - accounting","22,667.61","-"
"6155","Professional fees - legal","43,423.65","-"
"6160","Rent","18,627.14","-"
"6165","Telephone","12,316.05","-"
"6170","Travel & trade shows","47,816.36","-"
"6175","Travel - meals","0.00","-"
"6180","Vehicle costs","323.91","-"
"6190","Bad debt expense","0.00","-"
"6210","Courier & freight","0.00","-"
"6220","Shop supplies","916.06","-"
"6225","Field trial costs","6,350.00","-"
"6230","Repairs & maintenance","0.00","-"
"6240","Shop utilities","3,231.83","-"
"6245","Insurance","0.00","-"
"6250","Vehicle","0.00","-"
"6410","Amortization - property & equipment","3,075.20","-"
"6450","Amortization - equipment held for","0.00","-"
"6510","Bank charges","12,460.99","-"
"6520","Interest expense","120,534.45","-"
"6525","Interest expense (non-deductible)","0.00","-"
"6530","Interest income","-","3.72"
"6550","Interest on convertible debentures","378,611.17","-"
"6560","Accretion of debenture obligation","369,150.00","-"
"6570","Amortization of financing costs","116,484.00","-"
"6600","Share-based payments","0.00","-"
"6700","Foreign exchange loss (gain)","1,980.42","-"
"6800","Loss (gain) on disposal of assets","525.00","-"
"6910","Gain on settlement of debt","-","2,281,185.30"
"6920","Restructuring costs","665,584.98","-"
"6950","Impairment of assets","0.00","-"
"","","________________","________________"

"","","52,940,664.57","52,940,664.57"
"","","================","================"

"Generated On: 09/06/2017"
